Year,NATURE,SOURCE_DETAIL,SDG Series,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Source details,COMMENT_OBS,Observation-level footnotes,Value
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.87756
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.40098
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 4,Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.82227
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.73814
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.92689
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.97207
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.79083
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.78301
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Lower secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.88612
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.95602
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.84792
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,,Quintile 5 (richest),Upper secondary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.01242
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.51767
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.5832
2007,C,"Ethiopia Population and Housing Census 2007. IPUMS-Intertiol, Central Statistical Agency.; Data extracted on 01 April 2022.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Rural,,Primary education,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,,,0.81376
